player_id,name,short_name,position,jersey_number,age,country,Buts,xG,Succ_dribbles,Tacles,Assists,Passes_Reussies_Pct,club,league,market_value_raw
108579,Harry Kane,H. Kane,F,9,32.0,England,36,26.87,32,19,5,81.02,bayern_munich,bundesliga,65000000
1084730,Bryan Zaragoza,B. Zaragoza,F,17,24.0,Spain,0,0.05,6,1,1,83.05,bayern_munich,bundesliga,7500000
1005834,Armindo Sieb,A. Sieb,F,30,23.0,Germany,2,2.22,6,7,0,69.39,bayern_munich,bundesliga,2600000
978838,Michael Olise,M. Olise,M,17,24.0,France,15,11.46,65,24,19,84.14,bayern_munich,bundesliga,144000000
883537,Luis Díaz,L. Díaz,M,14,29.0,Colombia,15,15.1,61,21,14,85.81,bayern_munich,bundesliga,76000000
1010231,Jamal Musiala,J. Musiala,M,10,23.0,Germany,3,4.81,21,11,4,84.93,bayern_munich,bundesliga,97000000
259117,Joshua Kimmich,J. Kimmich,M,6,31.0,Germany,2,2.65,11,32,8,92.38,bayern_munich,bundesliga,38000000
1861975,Lennart Karl,L. Karl,M,42,18.0,Germany,5,7.59,22,25,5,85.91,bayern_munich,bundesliga,63000000
187433,Serge Gnabry,S. Gnabry,M,7,31.0,Germany,8,6.26,16,18,6,89.83,bayern_munich,bundesliga,18900000
1142251,Aleksandar Pavlović,A. Pavlović,M,45,22.0,Germany,3,1.6,4,26,1,94.55,bayern_munich,bundesliga,96000000
364612,João Palhinha,J. Palhinha,M,16,31.0,Portugal,5,2.7,10,110,2,81.99,bayern_munich,bundesliga,13800000
1129935,Tom Bischof,T. Bischof,M,20,21.0,Germany,3,1.83,7,26,3,92.6,bayern_munich,bundesliga,39000000
1142248,Arijon Ibrahimović,A. Ibrahimović,M,20,20.0,Germany,2,6.31,23,34,4,72.08,bayern_munich,bundesliga,10500000
843665,Alphonso Davies,A. Davies,D,19,25.0,Canada,1,0.35,13,9,3,93.61,bayern_munich,bundesliga,39000000
798583,Dayot Upamecano,D. Upamecano,D,2,27.0,France,1,1.03,4,44,1,92.6,bayern_munich,bundesliga,65000000
896569,Kim Min-jae,K. Min-jae,D,3,29.0,South Korea,1,0.62,1,22,1,94.94,bayern_munich,bundesliga,21000000
980418,Sacha Boey,S. Boey,D,23,25.0,France,0,0.28,1,6,0,86.35,bayern_munich,bundesliga,9200000
227672,Jonathan Tah,J. Tah,D,4,30.0,Germany,2,0.71,3,24,1,96.31,bayern_munich,bundesliga,26000000
927407,Josip Stanišić,J. Stanišić,D,44,26.0,Croatia,2,1.36,10,28,3,89.75,bayern_munich,bundesliga,39000000
355492,Konrad Laimer,K. Laimer,D,27,29.0,Austria,3,2.42,14,46,9,90.06,bayern_munich,bundesliga,31000000
873106,Hiroki Itō,H. Itō,D,21,27.0,Japan,1,0.85,4,4,2,91.09,bayern_munich,bundesliga,19800000
1159759,Nathaniel Brown,N. Brown,D,21,23.0,Germany,4,2.52,17,81,4,84.74,bayern_munich,bundesliga,37000000
8959,Manuel Neuer,M. Neuer,G,1,40.0,Germany,0,0.0,0,0,0,81.28,bayern_munich,bundesliga,4099999
1130647,Jonas Urbig,J. Urbig,G,1,22.0,Germany,0,0.0,0,0,0,83.41,bayern_munich,bundesliga,19600000
26768,Sven Ulreich,S. Ulreich,G,26,37.0,Germany,0,0.0,0,0,0,47.37,bayern_munich,bundesliga,515000
1407524,Ibrahim Maza,I. Maza,F,30,20.0,Algeria,3,5.34,48,41,4,83.05,bayer_leverkusen,bundesliga,41000000
978521,Victor Okoh Boniface,V. O. Boniface,F,22,25.0,Nigeria,0,1.08,5,2,2,68.81,bayer_leverkusen,bundesliga,5500000
