player_id,name,position,age,country,Buts,xG,Succ_dribbles,Tacles,Assists,Passes_Reussies_Pct,club,league,market_value_raw,short_name,jersey_number
108579,Harry Kane,F,32.0,England,36,26.87,32,19,5,81.02,bayern_munich,bundesliga,65000000,H. Kane,9
1084730,Bryan Zaragoza,F,24.0,Spain,0,0.05,6,1,1,83.05,bayern_munich,bundesliga,7500000,B. Zaragoza,17
1084730,Bryan Zaragoza,F,24.0,Spain,1,2.01,27,10,1,77.54,bayern_munich,bundesliga,7500000,B. Zaragoza,17
1005834,Armindo Sieb,F,23.0,Germany,2,2.22,6,7,0,69.39,bayern_munich,bundesliga,2600000,A. Sieb,30
978838,Michael Olise,M,24.0,France,15,11.46,65,24,19,84.14,bayern_munich,bundesliga,144000000,M. Olise,17
883537,Luis Díaz,M,29.0,Colombia,15,15.1,61,21,14,85.81,bayern_munich,bundesliga,76000000,L. Díaz,14
1010231,Jamal Musiala,M,23.0,Germany,3,4.81,21,11,4,84.93,bayern_munich,bundesliga,97000000,J. Musiala,10
259117,Joshua Kimmich,M,31.0,Germany,2,2.65,11,32,8,92.38,bayern_munich,bundesliga,38000000,J. Kimmich,6
1861975,Lennart Karl,M,18.0,Germany,5,7.59,22,25,5,85.91,bayern_munich,bundesliga,63000000,L. Karl,42
187433,Serge Gnabry,M,31.0,Germany,8,6.26,16,18,6,89.83,bayern_munich,bundesliga,18900000,S. Gnabry,7
1142251,Aleksandar Pavlović,M,22.0,Germany,3,1.6,4,26,1,94.55,bayern_munich,bundesliga,96000000,A. Pavlović,45
364612,João Palhinha,M,31.0,Portugal,5,2.7,10,110,2,81.99,bayern_munich,bundesliga,13800000,J. Palhinha,16
1129935,Tom Bischof,M,21.0,Germany,3,1.83,7,26,3,92.6,bayern_munich,bundesliga,39000000,T. Bischof,20
1142248,Arijon Ibrahimović,M,20.0,Germany,2,6.31,23,34,4,72.08,bayern_munich,bundesliga,10500000,A. Ibrahimović,20
843665,Alphonso Davies,D,25.0,Canada,1,0.35,13,9,3,93.61,bayern_munich,bundesliga,39000000,A. Davies,19
798583,Dayot Upamecano,D,27.0,France,1,1.03,4,44,1,92.6,bayern_munich,bundesliga,65000000,D. Upamecano,2
896569,Kim Min-jae,D,29.0,South Korea,1,0.62,1,22,1,94.94,bayern_munich,bundesliga,21000000,K. Min-jae,3
980418,Sacha Boey,D,25.0,France,0,0.28,1,6,0,86.35,bayern_munich,bundesliga,9200000,S. Boey,23
227672,Jonathan Tah,D,30.0,Germany,2,0.71,3,24,1,96.31,bayern_munich,bundesliga,26000000,J. Tah,4
927407,Josip Stanišić,D,26.0,Croatia,2,1.36,10,28,3,89.75,bayern_munich,bundesliga,39000000,J. Stanišić,44
355492,Konrad Laimer,D,29.0,Austria,3,2.42,14,46,9,90.06,bayern_munich,bundesliga,31000000,K. Laimer,27
873106,Hiroki Itō,D,27.0,Japan,1,0.85,4,4,2,91.09,bayern_munich,bundesliga,19800000,H. Itō,21
1159759,Nathaniel Brown,D,23.0,Germany,4,2.52,17,81,4,84.74,bayern_munich,bundesliga,37000000,N. Brown,21
8959,Manuel Neuer,G,40.0,Germany,0,0.0,0,0,0,81.28,bayern_munich,bundesliga,4099999,M. Neuer,1
1130647,Jonas Urbig,G,22.0,Germany,0,0.0,0,0,0,83.41,bayern_munich,bundesliga,19600000,J. Urbig,1
26768,Sven Ulreich,G,37.0,Germany,0,0.0,0,0,0,47.37,bayern_munich,bundesliga,515000,S. Ulreich,26
1407524,Ibrahim Maza,F,20.0,Algeria,3,5.34,48,41,4,83.05,bayer_leverkusen,bundesliga,41000000,I. Maza,30
978521,Victor Okoh Boniface,F,25.0,Nigeria,0,1.08,5,2,2,68.81,bayer_leverkusen,bundesliga,5500000,V. O. Boniface,22
1394353,Eliesse Ben Seghir,F,21.0,Morocco,0,0.14,9,4,0,85.82,bayer_leverkusen,bundesliga,21000000,E. Ben Seghir,17
1394353,Eliesse Ben Seghir,F,21.0,Morocco,0,0.06,1,2,0,76.0,bayer_leverkusen,bundesliga,21000000,E. Ben Seghir,17
280609,Patrik Schick,F,30.0,Czechia,16,17.18,10,9,3,80.54,bayer_leverkusen,bundesliga,16600000,P. Schick,14
2029648,Christian Kofane,F,19.0,Cameroon,5,6.8,7,13,4,82.76,bayer_leverkusen,bundesliga,41000000,C. Kofane,35
1119502,Ernest Poku,F,22.0,Netherlands,5,3.05,28,13,5,83.15,bayer_leverkusen,bundesliga,24000000,E. Poku,19
1215906,Afonso Moreira,F,21.0,Portugal,4,2.69,24,33,7,80.85,bayer_leverkusen,bundesliga,18400000,A. Moreira,17
920379,Nathan Tella,F,27.0,Nigeria,1,2.8,13,12,4,85.17,bayer_leverkusen,bundesliga,15800000,N. Tella,23
1482433,Alejo Sarco,F,20.0,Argentina,0,0.29,1,1,0,69.57,bayer_leverkusen,bundesliga,1800000,A. Sarco,18
846445,Martin Terrier,F,29.0,France,4,2.55,5,11,1,85.02,bayer_leverkusen,bundesliga,7400000,M. Terrier,11
142390,Jonas Hofmann,F,34.0,Germany,2,1.63,7,13,2,83.55,bayer_leverkusen,bundesliga,1600000,J. Hofmann,7
255239,Lucas Vázquez,M,35.0,Spain,1,0.5,1,6,2,87.12,bayer_leverkusen,bundesliga,1600000,L. Vázquez,21
822600,Exequiel Palacios,M,27.0,Argentina,0,0.6,4,21,1,90.67,bayer_leverkusen,bundesliga,26000000,E. Palacios,25
975798,Malik Tillman,M,24.0,USA,6,4.62,11,38,0,83.52,bayer_leverkusen,bundesliga,27000000,M. Tillman,10
1003012,Ezequiel Fernández,M,23.0,Argentina,0,0.68,9,31,1,89.47,bayer_leverkusen,bundesliga,21000000,E. Fernández,6
796047,Aleix García,M,29.0,Spain,3,2.29,4,26,8,92.88,bayer_leverkusen,bundesliga,21000000,A. García,24
