player_id,name,short_name,position,jersey_number,age,country,market_value_raw,league,club
1606529,Darian Hrom,D. Hrom,F,-,22.0,Romania,170000,bundesliga,augsburg
41026,Mattia Mustacchio,M. Mustacchio,F,7,37.0,Italy,73000,bundesliga,augsburg
967627,Andrea Capelli,A. Capelli,F,11,27.0,Italy,180000,bundesliga,augsburg
822381,Simone Raffini,S. Raffini,F,9,29.0,Italy,145000,bundesliga,augsburg
377252,Marcello Sereni,M. Sereni,F,17,29.0,Italy,105000,bundesliga,augsburg
2070172,Michele Garnero,M. Garnero,F,21,21.0,Italy,53000,bundesliga,augsburg
1428950,Tommaso Dalcerri,T. Dalcerri,F,41,21.0,Italy,Non renseigné,bundesliga,augsburg
916011,Andrea Tremolada,A. Tremolada,F,-,27.0,Italy,94000,bundesliga,augsburg
44023,Anthony Taugourdeau,A. Taugourdeau,M,5,37.0,France,27000,bundesliga,augsburg
871251,Lorenzo Panaioli,L. Panaioli,M,17,27.0,Italy,105000,bundesliga,augsburg
970849,Manuel Poledri,M. Poledri,M,23,25.0,Italy,93000,bundesliga,augsburg
922926,Tommaso Putzolu,T. Putzolu,M,8,27.0,Italy,72000,bundesliga,augsburg
997141,Nicolò Milani,N. Milani,D,-,25.0,Italy,105000,bundesliga,augsburg
1944486,Antonio Napoletano ,A. Napoletano ,D,,19.0,Italy,52000,bundesliga,augsburg
131922,Luca Ferri,L. Ferri,D,6,35.0,Italy,165000,bundesliga,augsburg
139404,Jacopo Silva,J. Silva,D,4,34.0,Italy,24000,bundesliga,augsburg
915227,Aboubakar Bakayoko,A. Bakayoko,D,-,33.0,Côte d'Ivoire,105000,bundesliga,augsburg
2019021,Samuele Lucino,S. Lucino,D,-,18.0,Italy,145000,bundesliga,augsburg
1870789,Francesco Versari,F. Versari,G,22,19.0,Italy,110000,bundesliga,augsburg
2366488,Alessandro Bergamaschi,A. Bergamaschi,Inconnu,83,,Italy,Non renseigné,bundesliga,augsburg
2325748,Nicola Trombetta,N. Trombetta,Inconnu,82,,Italy,Non renseigné,bundesliga,augsburg
108579,Harry Kane,H. Kane,F,9,32.0,England,65000000,bundesliga,bayern_munich
1084730,Bryan Zaragoza,B. Zaragoza,F,17,24.0,Spain,7500000,bundesliga,bayern_munich
1005834,Armindo Sieb,A. Sieb,F,30,23.0,Germany,2600000,bundesliga,bayern_munich
978838,Michael Olise,M. Olise,M,17,24.0,France,144000000,bundesliga,bayern_munich
883537,Luis Díaz,L. Díaz,M,14,29.0,Colombia,76000000,bundesliga,bayern_munich
1010231,Jamal Musiala,J. Musiala,M,10,23.0,Germany,97000000,bundesliga,bayern_munich
1063767,Ismael Saibari,I. Saibari,M,34,25.0,Morocco,44000000,bundesliga,bayern_munich
259117,Joshua Kimmich,J. Kimmich,M,6,31.0,Germany,38000000,bundesliga,bayern_munich
1861975,Lennart Karl,L. Karl,M,42,18.0,Germany,63000000,bundesliga,bayern_munich
187433,Serge Gnabry,S. Gnabry,M,7,31.0,Germany,18900000,bundesliga,bayern_munich
1142251,Aleksandar Pavlović,A. Pavlović,M,45,22.0,Germany,96000000,bundesliga,bayern_munich
364612,João Palhinha,J. Palhinha,M,16,31.0,Portugal,13800000,bundesliga,bayern_munich
1129935,Tom Bischof,T. Bischof,M,20,21.0,Germany,39000000,bundesliga,bayern_munich
1142248,Arijon Ibrahimović,A. Ibrahimović,M,20,20.0,Germany,10500000,bundesliga,bayern_munich
843665,Alphonso Davies,A. Davies,D,19,25.0,Canada,39000000,bundesliga,bayern_munich
798583,Dayot Upamecano,D. Upamecano,D,2,27.0,France,65000000,bundesliga,bayern_munich
896569,Kim Min-jae,K. Min-jae,D,3,29.0,South Korea,21000000,bundesliga,bayern_munich
980418,Sacha Boey,S. Boey,D,23,25.0,France,9200000,bundesliga,bayern_munich
227672,Jonathan Tah,J. Tah,D,4,30.0,Germany,26000000,bundesliga,bayern_munich
