player_id,name,short_name,position,jersey_number,age,country,market_value_raw,league,club
1606529,Darian Hrom,D. Hrom,F,-,22,Romania,170000,bundesliga,augsburg
41026,Mattia Mustacchio,M. Mustacchio,F,7,37,Italy,73000,bundesliga,augsburg
967627,Andrea Capelli,A. Capelli,F,11,27,Italy,180000,bundesliga,augsburg
822381,Simone Raffini,S. Raffini,F,9,29,Italy,145000,bundesliga,augsburg
377252,Marcello Sereni,M. Sereni,F,17,29,Italy,105000,bundesliga,augsburg
2070172,Michele Garnero,M. Garnero,F,21,21,Italy,53000,bundesliga,augsburg
1428950,Tommaso Dalcerri,T. Dalcerri,F,41,21,Italy,Non renseigné,bundesliga,augsburg
916011,Andrea Tremolada,A. Tremolada,F,-,27,Italy,94000,bundesliga,augsburg
44023,Anthony Taugourdeau,A. Taugourdeau,M,5,37,France,27000,bundesliga,augsburg
871251,Lorenzo Panaioli,L. Panaioli,M,17,27,Italy,105000,bundesliga,augsburg
970849,Manuel Poledri,M. Poledri,M,23,25,Italy,93000,bundesliga,augsburg
922926,Tommaso Putzolu,T. Putzolu,M,8,27,Italy,72000,bundesliga,augsburg
997141,Nicolò Milani,N. Milani,D,-,25,Italy,105000,bundesliga,augsburg
1944486,Antonio Napoletano ,A. Napoletano ,D,,19,Italy,52000,bundesliga,augsburg
131922,Luca Ferri,L. Ferri,D,6,35,Italy,165000,bundesliga,augsburg
139404,Jacopo Silva,J. Silva,D,4,34,Italy,24000,bundesliga,augsburg
915227,Aboubakar Bakayoko,A. Bakayoko,D,-,33,Côte d'Ivoire,105000,bundesliga,augsburg
2019021,Samuele Lucino,S. Lucino,D,-,18,Italy,145000,bundesliga,augsburg
1870789,Francesco Versari,F. Versari,G,22,19,Italy,110000,bundesliga,augsburg
2366488,Alessandro Bergamaschi,A. Bergamaschi,Inconnu,83,,Italy,Non renseigné,bundesliga,augsburg
2325748,Nicola Trombetta,N. Trombetta,Inconnu,82,,Italy,Non renseigné,bundesliga,augsburg
