player_id,name,short_name,position,jersey_number,age,country,market_value_raw,league,club
328027,Serhou Guirassy,S. Guirassy,F,9,30,Guinea,34000000,bundesliga,borussia_dortmund
940054,Karim Adeyemi,K. Adeyemi,F,27,24,Germany,41000000,bundesliga,borussia_dortmund
980628,Maximilian Beier,M. Beier,F,14,23,Germany,43000000,bundesliga,borussia_dortmund
954076,Fábio Silva,F. Silva,F,21,23,Portugal,21000000,bundesliga,borussia_dortmund
1937835,Mathis Albert,M. Albert,F,41,17,USA,310000,bundesliga,borussia_dortmund
2048723,Marwan-Omir Mirza,M. Mirza,F,57,16,Germany,Non renseigné,bundesliga,borussia_dortmund
1649300,Arne Wessels,A. Wessels,F,51,20,Germany,77000,bundesliga,borussia_dortmund
1134083,Jobe Bellingham,J. Bellingham,M,7,20,England,38000000,bundesliga,borussia_dortmund
994556,Carney Chukwuemeka,C. Chukwuemeka,M,17,22,Austria,18100000,bundesliga,borussia_dortmund
907463,Felix Nmecha,F. Nmecha,M,8,25,Germany,48000000,bundesliga,borussia_dortmund
133908,Marcel Sabitzer,M. Sabitzer,M,20,32,Austria,6200000,bundesliga,borussia_dortmund
1002813,Yan Couto,Y. Couto,M,2,24,Brazil,17500000,bundesliga,borussia_dortmund
800951,Julian Ryerson,J. Ryerson,M,26,28,Norway,24000000,bundesliga,borussia_dortmund
1861666,Samuele Inacio,S. Inacio,M,40,18,Italy,15900000,bundesliga,borussia_dortmund
1021272,Daniel Svensson,D. Svensson,M,24,24,Sweden,20000000,bundesliga,borussia_dortmund
1836843,Justin Lerma,J. Lerma,M,28,18,Ecuador,3100000,bundesliga,borussia_dortmund
990210,Ayman Azhil,A. Azhil,M,46,25,Morocco,360000,bundesliga,borussia_dortmund
1931662,Mussa Kaba,M. Kaba,M,48,17,Germany,215000,bundesliga,borussia_dortmund
1957706,Enzo Duarte,E.Duarte,M,44,17,Luxembourg,240000,bundesliga,borussia_dortmund
352608,Michael Eberwein,M. Eberwein,M,50,30,Germany,180000,bundesliga,borussia_dortmund
2266851,Tom Faust,T. Faust,M,56,18,Germany,Non renseigné,bundesliga,borussia_dortmund
577726,Ramy Bensebaini,R. Bensebaini,D,5,31,Algeria,7400000,bundesliga,borussia_dortmund
940871,Nico Schlotterbeck,N. Schlotterbeck,D,4,26,Germany,57000000,bundesliga,borussia_dortmund
138156,Emre Can,E. Can,D,23,32,Germany,3200000,bundesliga,borussia_dortmund
799046,Waldemar Anton,W. Anton,D,3,29,Germany,19700000,bundesliga,borussia_dortmund
1544423,Elias Benkara,E. Benkara,D,47,19,Algeria,285000,bundesliga,borussia_dortmund
1137131,Filippo Mané,F. Mané,D,39,21,Italy,2400000,bundesliga,borussia_dortmund
1937833,Luca Reggiani,L. Reggiani,D,49,18,Italy,9700000,bundesliga,borussia_dortmund
1471049,Joane Gadou,J. Gadou,D,22,19,France,18500000,bundesliga,borussia_dortmund
1418620,Almugera Kabar,A. Kabar,D,42,20,Germany,3100000,bundesliga,borussia_dortmund
2266855,Roméo Ritter,R. Ritter,D,52,18,Germany,Non renseigné,bundesliga,borussia_dortmund
1937830,Jan-Luca Riedl,J. Riedl,D,53,17,Germany,Non renseigné,bundesliga,borussia_dortmund
2245591,Miguel Adje,M. Adje,D,54,18,Switzerland,Non renseigné,bundesliga,borussia_dortmund
556866,Gregor Kobel,G. Kobel,G,1,28,Switzerland,41000000,bundesliga,borussia_dortmund
981562,Diant Ramaj,D. Ramaj,G,41,24,Germany,6300000,bundesliga,borussia_dortmund
138491,Alexander Meyer,A. Meyer,G,33,35,Germany,475000,bundesliga,borussia_dortmund
1140591,Silas Ostrzinski,S. Ostrzinski,G,31,22,Germany,205000,bundesliga,borussia_dortmund
132607,Patrick Drewes,P. Drewes,G,30,33,Germany,315000,bundesliga,borussia_dortmund
