player_id,name,short_name,position,jersey_number,age,country,market_value_raw,league,club
1898148,Ayoube Amaimouni Echghouyab,A. Amaimouni Echghouyab,F,29,21,Morocco,10900000,bundesliga,eintracht_frankfurt
147745,Michy Batshuayi,M. Batshuayi,F,30,32,Belgium,2200000,bundesliga,eintracht_frankfurt
979315,Elye Wahi,E. Wahi,F,17,23,Côte d'Ivoire,19400000,bundesliga,eintracht_frankfurt
939830,Jonathan Burkardt,J. Burkardt,F,9,26,Germany,29000000,bundesliga,eintracht_frankfurt
1146148,Jean-Mattéo Bahoya,J. Bahoya,F,19,21,France,24000000,bundesliga,eintracht_frankfurt
997012,Ansgar Knauff,A. Knauff,F,7,24,Germany,15500000,bundesliga,eintracht_frankfurt
1474296,Younes Ebnoutalib,Y. Ebnoutalib,F,11,22,Germany,8800000,bundesliga,eintracht_frankfurt
1017574,Noel Futkeu,N. Futkeu,F,9,23,Germany,7300000,bundesliga,eintracht_frankfurt
906276,Jessic Ngankam,J. Ngankam,F,32,25,Germany,720000,bundesliga,eintracht_frankfurt
1957761,Malik Pimpong,M. Pimpong,F,9,18,Denmark,Non renseigné,bundesliga,eintracht_frankfurt
1192318,Farès Chaïbi,F. Chaïbi,M,8,23,Algeria,14500000,bundesliga,eintracht_frankfurt
1440948,Can Uzun,C. Uzun,M,42,20,Türkiye,44000000,bundesliga,eintracht_frankfurt
790965,Ritsu Doan,R. Doan,M,20,28,Japan,15600000,bundesliga,eintracht_frankfurt
66518,Mario Götze,M. Götze,M,27,34,Germany,3100000,bundesliga,eintracht_frankfurt
591706,Ellyes Skhiri,E. Skhiri,M,15,31,Tunisia,5200000,bundesliga,eintracht_frankfurt
1410926,Noël Aséko,N. Aséko,M,15,20,Germany,12400000,bundesliga,eintracht_frankfurt
1142211,Hugo Larsson,H. Larsson,M,16,22,Sweden,30000000,bundesliga,eintracht_frankfurt
904994,Eric Ebimbe,E. Ebimbe,M,26,25,Cameroon,6500000,bundesliga,eintracht_frankfurt
1149113,Oscar Højlund,O. Højlund,M,6,21,Denmark,14600000,bundesliga,eintracht_frankfurt
1977245,Love Arrhov,L. Arrhov,M,31,18,Sweden,5200000,bundesliga,eintracht_frankfurt
40239,Timothy Chandler,T. Chandler,M,22,36,USA,375000,bundesliga,eintracht_frankfurt
2077094,Marvin Dills,M. Dills,M,45,19,USA,825000,bundesliga,eintracht_frankfurt
965778,Arthur Theate,A. Theate,D,3,26,Belgium,16500000,bundesliga,eintracht_frankfurt
581302,Robin Koch,R. Koch,D,4,30,Germany,10800000,bundesliga,eintracht_frankfurt
1501641,Keita Kosugi,K. Kosugi,D,26,20,Japan,4900000,bundesliga,eintracht_frankfurt
1048569,Nnamdi Collins,N. Collins,D,34,22,Germany,18500000,bundesliga,eintracht_frankfurt
1403018,Elias Baum,E. Baum,D,2,20,Germany,3900000,bundesliga,eintracht_frankfurt
941179,Niels Nkounkou,N. Nkounkou,D,29,25,France,2800000,bundesliga,eintracht_frankfurt
1886360,Jeremiaha Maluze,J. Maluze,D,30,21,Germany,155000,bundesliga,eintracht_frankfurt
1134203,Kauã Santos,Kauã,G,40,23,Brazil,6500000,bundesliga,eintracht_frankfurt
190161,Michael Zetterer,M. Zetterer,G,23,31,Germany,4099999,bundesliga,eintracht_frankfurt
2006785,Amil Šiljević,A. Šiljević,G,39,19,Bosnia & Herzegovina,Non renseigné,bundesliga,eintracht_frankfurt
27214,Jens Grahl,J. Grahl,G,33,37,Germany,210000,bundesliga,eintracht_frankfurt
