player_id,name,short_name,position,jersey_number,age,country,market_value_raw,league,club
67647,Andrej Kramarić,A. Kramarić,F,27,35,Croatia,2700000,bundesliga,hoffenheim
1010117,Fisnik Asllani,F. Asllani,F,11,23,Kosovo,36000000,bundesliga,hoffenheim
1217613,Gift Orban,G. Orban,F,14,24,Nigeria,7300000,bundesliga,hoffenheim
963801,Adam Hložek,A. Hložek,F,23,23,Czechia,10300000,bundesliga,hoffenheim
1418703,Max Moerstedt,M. Moerstedt,F,33,20,Germany,7600000,bundesliga,hoffenheim
1014290,Tim Lemperle,T. Lemperle,F,19,24,Germany,15300000,bundesliga,hoffenheim
1408406,Alessandro Vogt,A. Vogt,F,18,21,Switzerland,7600000,bundesliga,hoffenheim
1440627,Yannick Eduardo,Y. Eduardo,F,31,20,Czechia,2600000,bundesliga,hoffenheim
1604187,Deniz Zeitler,D. Zeitler,F,38,19,Germany,4099999,bundesliga,hoffenheim
1637689,Nathan De Cat,N. D. Cat,M,74,17,Belgium,25000000,bundesliga,hoffenheim
987504,Patrick Wimmer,P. Wimmer,M,39,25,Austria,11100000,bundesliga,hoffenheim
1493305,Leon Avdullahu,L. Avdullahu,M,7,22,Kosovo,33000000,bundesliga,hoffenheim
916946,Wouter Burger,W. Burger,M,18,25,Netherlands,21000000,bundesliga,hoffenheim
978062,Alexander Prass,A. Prass,M,22,25,Austria,8700000,bundesliga,hoffenheim
1128638,Muhammed Damar,M. Damar,M,10,22,Germany,4600000,bundesliga,hoffenheim
1083410,Umut Tohumcu,U. Tohumcu,M,17,21,Germany,3200000,bundesliga,hoffenheim
1185359,Bambasé Conté,B. Conté,M,31,23,Germany,3800000,bundesliga,hoffenheim
1838178,Luis Engelns,L. Engelns,M,17,19,Germany,4400000,bundesliga,hoffenheim
2077300,Cajetan Lenz,C. Lenz,M,34,20,Germany,9600000,bundesliga,hoffenheim
795004,Dennis Geiger,D. Geiger,M,8,28,Germany,1100000,bundesliga,hoffenheim
2053731,Oskar Hencke,O. Hencke,M,19,18,Germany,390000,bundesliga,hoffenheim
857740,Ozan Kabak,O. Kabak,D,5,26,Türkiye,14600000,bundesliga,hoffenheim
138024,Vladimír Coufal,V. Coufal,D,34,33,Czechia,2400000,bundesliga,hoffenheim
790977,Koki Machida,K. Machida,D,28,28,Japan,5800000,bundesliga,hoffenheim
1000269,Albian Hajdari,A. Hajdari,D,21,23,Kosovo,24000000,bundesliga,hoffenheim
828571,Bernardo,Bernardo,D,13,31,Brazil,3700000,bundesliga,hoffenheim
1387012,Mats Rots,M. Rots,D,39,20,Netherlands,11200000,bundesliga,hoffenheim
1122806,Arthur Chaves,A. Chaves,D,35,25,Brazil,4900000,bundesliga,hoffenheim
957615,Robin Hranáč,R. Hranáč,D,2,26,Czechia,10900000,bundesliga,hoffenheim
944899,Valentin Gendrey,V. Gendrey,D,15,26,France,6300000,bundesliga,hoffenheim
1885630,Sean Dulic,S. Dulic,D,25,21,Germany,1200000,bundesliga,hoffenheim
1861981,Natnael Abraha,N. Abraha,D,13,18,Germany,435000,bundesliga,hoffenheim
1974432,Tristan Spranger,T. Spranger,D,28,18,Germany,Non renseigné,bundesliga,hoffenheim
2425469,Maxime Ndong Penda,M. Ndong Penda,D,46,19,Germany,Non renseigné,bundesliga,hoffenheim
40244,Oliver Baumann,O. Baumann,G,1,36,Germany,2700000,bundesliga,hoffenheim
943550,Luca Philipp,L. Philipp,G,37,25,Germany,705000,bundesliga,hoffenheim
1196091,Lukas Petersson,L. Petersson,G,36,22,Iceland,570000,bundesliga,hoffenheim
