player_id,name,short_name,position,jersey_number,age,country,market_value_raw,league,club
31861,Alexander Esswein,A. Esswein,F,-,36,Germany,190000,bundesliga,mainz_05
984125,Lennart Thum,L. Thum,F,19,25,Germany,Non renseigné,bundesliga,mainz_05
988100,Flamur Berisha,F. Berisha,F,37,26,Germany,165000,bundesliga,mainz_05
2445329,Jassem Nasraoui,J. Nasraoui,F,-,21,Tunisia,Non renseigné,bundesliga,mainz_05
1864736,Marvin Kadner,M. Kadner,F,-,20,Germany,Non renseigné,bundesliga,mainz_05
886317,Pasqual Pander,P. Pander,F,-,28,Germany,45000,bundesliga,mainz_05
56601,Lukas Rupp,L. Rupp,M,33,35,Germany,105000,bundesliga,mainz_05
1046802,Melvin Ramusović,M. Ramusović,M,5,25,Bosnia & Herzegovina,49000,bundesliga,mainz_05
787721,Mart Ristl,M. Ristl,M,29,30,Germany,130000,bundesliga,mainz_05
954308,Enes Olgun Tubluk,E. O. Tubluk,M,-,26,Germany,77000,bundesliga,mainz_05
1387454,Alexandru Paraschiv,A. Paraschiv,M,14,27,Romania,78000,bundesliga,mainz_05
801560,Jannick Marx,J. Marx,M,-,29,Germany,48000,bundesliga,mainz_05
957247,Umut Senturk,U. Senturk,M,44,28,Germany,Non renseigné,bundesliga,mainz_05
1086400,Tim Grünewald,T. Grünewald,M,18,24,Germany,Non renseigné,bundesliga,mainz_05
1185236,Kevin Kruger,K. Kruger,M,-,23,Germany,26000,bundesliga,mainz_05
1110941,Hans-Juraj Hartmann,H. Hartmann,D,-,24,Croatia,82000,bundesliga,mainz_05
788109,Robin Becker,R. Becker,D,-,29,Germany,135000,bundesliga,mainz_05
943386,Jonas Weik,J. Weik,D,-,26,Germany,195000,bundesliga,mainz_05
1145264,Vincent Moreno Giesel,V. Giesel,D,32,24,Germany,195000,bundesliga,mainz_05
1127581,Luca Stellwagen,L. Stellwagen,D,-,27,Germany,155000,bundesliga,mainz_05
1127641,Tim Seifert,T. Seifert,D,-,24,Germany,24000,bundesliga,mainz_05
2606090,Christian  Kuhn,C. Kuhn,D,5,30,Germany,Non renseigné,bundesliga,mainz_05
1021965,David Nreca-Bisinger,D. Nreca-Bisinger,G,-,24,Kosovo,23000,bundesliga,mainz_05
1413160,Malwin Zok,M. Zok,G,34,22,Germany,82000,bundesliga,mainz_05
