player_id,name,short_name,position,jersey_number,age,country,market_value_raw,league,club
930841,Jordan Smylie,J. Smylie,F,10,26,Australia,Non renseigné,bundesliga,rb_leipzig
1485618,Eythor Orn Eythorsson,E. Ö. Eythórsson,F,27,22,Iceland,Non renseigné,bundesliga,rb_leipzig
1029435,Bergþór Ingi Smárason,B. I. Smárason,F,10,32,Iceland,23000,bundesliga,rb_leipzig
1127166,Andri Daði Rúriksson,A. D. Rúriksson,F,-,21,Iceland,Non renseigné,bundesliga,rb_leipzig
1471494,Elfar Máni Bragason,E. M. Bragason,F,-,,Iceland,Non renseigné,bundesliga,rb_leipzig
1485608,Saevar Orri Valgeirsson,S. O. Valgeirsson,F,-,22,Iceland,Non renseigné,bundesliga,rb_leipzig
1213686,Ísak Daði Ívarsson,Í. D. Ívarsson,M,14,22,Iceland,Non renseigné,bundesliga,rb_leipzig
66653,Ingolfur Sigurdsson,I. Sigurdsson,M,-,33,Iceland,Non renseigné,bundesliga,rb_leipzig
1485609,Sigurdur Orri Ingimarsson,S. O. Ingimarsson,M,21,22,Iceland,53000,bundesliga,rb_leipzig
862554,Alexander Helgason,A. Helgason,M,-,29,Iceland,26000,bundesliga,rb_leipzig
1029745,Odinn Johannsson,O. Johannsson,M,-,28,Iceland,Non renseigné,bundesliga,rb_leipzig
1031311,Magnús Magnússon,M. Magnússon,M,-,,Iceland,Non renseigné,bundesliga,rb_leipzig
1862269,Gísli Grétar Sigurðsson,G. G. Sigurðsson,M,21,20,Iceland,Non renseigné,bundesliga,rb_leipzig
951585,Arnor Siggeirsson,A. Siggeirsson,M,19,27,Iceland,Non renseigné,bundesliga,rb_leipzig
1029516,Ársæll Kristinn Björnsson,Á. K. Björnsson,M,-,26,Iceland,Non renseigné,bundesliga,rb_leipzig
1063049,Pálmar Sveinsson,P. Sveinsson,M,-,23,Iceland,Non renseigné,bundesliga,rb_leipzig
1136883,Róbert Þórhallsson,R. Þórhallsson,M,-,22,Iceland,Non renseigné,bundesliga,rb_leipzig
1874694,Bóas Heimisson,B. Heimisson,M,-,,Iceland,Non renseigné,bundesliga,rb_leipzig
2560342,Max Leitch,M. Leitch,M,-,,England,Non renseigné,bundesliga,rb_leipzig
2560346,Valur Thór Magnússon,V. T. Magnússon,M,-,21,Iceland,Non renseigné,bundesliga,rb_leipzig
2560347,Ólafur Fannar Thórhallsson,Ó. F. Thórhallsson,M,-,,Iceland,Non renseigné,bundesliga,rb_leipzig
2560348,Aegir Thór Vidarsson,A. T. Vidarsson,M,-,,Iceland,Non renseigné,bundesliga,rb_leipzig
2560349,Helgi Rúnar Hafsteinsson,H. R. Hafsteinsson,M,-,22,Iceland,Non renseigné,bundesliga,rb_leipzig
2560350,Jón Gestur Ben Birgisson,J. G. B. Birgisson,M,-,,Iceland,Non renseigné,bundesliga,rb_leipzig
928931,Maoudo Diallo,M. Diallo,D,-,26,Senegal,54000,bundesliga,rb_leipzig
1172746,Róbert William G. Bagguley,R. W. G. Bagguley,D,26,22,Iceland,Non renseigné,bundesliga,rb_leipzig
221816,Mate Paponja,M. Paponja,D,-,35,Croatia,Non renseigné,bundesliga,rb_leipzig
886635,Benedikt Jonsson,B. Jonsson,D,-,29,Iceland,23000,bundesliga,rb_leipzig
1029746,Sindri Lars Omarsson,S. L. Omarsson,D,-,28,Iceland,Non renseigné,bundesliga,rb_leipzig
2560340,Jökull Máni Jakobsson,J. M. Jakobsson,D,-,22,Iceland,Non renseigné,bundesliga,rb_leipzig
2560343,Saevar Gylfason,S. Gylfason,D,-,25,Iceland,Non renseigné,bundesliga,rb_leipzig
1143407,Ingólfur Hávarðarson,I. Hávarðarson,G,24,21,Iceland,Non renseigné,bundesliga,rb_leipzig
862626,Anton Helgi Johannsson,A. H. Johannsson,G,44,30,Iceland,Non renseigné,bundesliga,rb_leipzig
1947603,Gudjón Snorri Herbertsson,G. S. Herbertsson,G,-,21,Iceland,Non renseigné,bundesliga,rb_leipzig
2560345,Sindri Snaer Reynisson,S. S. Reynisson,G,-,,Iceland,Non renseigné,bundesliga,rb_leipzig
