player_id,name,short_name,position,jersey_number,age,country,market_value_raw,league,club
1462742,Ilyas Ansah,I. Ansah,F,10,21,Germany,12900000,bundesliga,union_berlin
1090010,Marin Ljubičić,M. Ljubičić,F,20,24,Croatia,1800000,bundesliga,union_berlin
927405,Woo-Yeong Jeong,W. Jeong,F,11,26,South Korea,3700000,bundesliga,union_berlin
953767,Andrej Ilić,A. Ilić,F,23,26,Serbia,8300000,bundesliga,union_berlin
608362,Oliver Burke,O. Burke,F,7,29,Scotland,2900000,bundesliga,union_berlin
1513469,Livan Burcu,L. Burcu,F,9,21,Türkiye,4200000,bundesliga,union_berlin
1568506,Dmytro Bogdanov,D. Bogdanov,F,30,19,Ukraine,770000,bundesliga,union_berlin
2311163,Linus Guther,L. Güther,F,49,16,Germany,1000000,bundesliga,union_berlin
1989789,Mekhi Gray,M. Gray,F,19,19,Germany,Non renseigné,bundesliga,union_berlin
1534058,Julien Friedrich,J. Friedrich,F,38,19,Germany,130000,bundesliga,union_berlin
2361781,Oskar Engel,O. Engel,F,-,18,Germany,Non renseigné,bundesliga,union_berlin
2660835,Louis Pepinski,L. Pepinski,F,-,18,Germany,Non renseigné,bundesliga,union_berlin
791642,Josip Juranović,J. Juranović,M,18,30,Croatia,2200000,bundesliga,union_berlin
877302,András Schäfer,A. Schäfer,M,13,27,Hungary,4099999,bundesliga,union_berlin
886737,Derrick Köhn,D. Köhn,M,39,27,Ghana,4200000,bundesliga,union_berlin
149479,Rani Khedira,R. Khedira,M,-,32,Tunisia,2100000,bundesliga,union_berlin
327863,Robert Skov,R. Skov,M,24,30,Denmark,1900000,bundesliga,union_berlin
1198074,Aljoscha Kemlein,A. Kemlein,M,6,21,Germany,11000000,bundesliga,union_berlin
48557,Christopher Trimmel,C. Trimmel,M,28,39,Austria,555000,bundesliga,union_berlin
800252,Tim Skarke,T. Skarke,M,21,29,Germany,1500000,bundesliga,union_berlin
168985,Janik Haberer,J. Haberer,M,19,32,Germany,2100000,bundesliga,union_berlin
2193775,Duje Slišković,D. Sliskovic,M,-,17,Croatia,Non renseigné,bundesliga,union_berlin
2304188,Tim Blaszczak,T. Blaszczak,M,44,18,Germany,Non renseigné,bundesliga,union_berlin
2660832,Tom Kannegießer,T. Kannegießer,M,-,18,Germany,Non renseigné,bundesliga,union_berlin
2660827,Niklas Zunk,N. Zunk,M,-,17,Germany,Non renseigné,bundesliga,union_berlin
2660828,Maxim Witschel,M. Witschel,M,-,17,Germany,Non renseigné,bundesliga,union_berlin
1086547,Leopold Querfeld,L. Querfeld,D,14,22,Austria,18900000,bundesliga,union_berlin
1210666,Tom Alexander Rothe,T. Rothe,D,15,21,Germany,10300000,bundesliga,union_berlin
1103765,Zeno Van Den Bosch,Z. Van Den Bosch,D,33,23,Belgium,6300000,bundesliga,union_berlin
904991,Stanley Nsoki,S. Nsoki,D,34,27,France,1800000,bundesliga,union_berlin
254449,Marvin Friedrich,M. Friedrich,D,5,30,Germany,1900000,bundesliga,union_berlin
1481918,Oluwaseun Ogbemudia,O. Ogbemudia,D,41,20,Germany,825000,bundesliga,union_berlin
1534045,Andrik Markgraf,A. Markgraf,D,3,19,Germany,310000,bundesliga,union_berlin
2305712,Luka Vulin,L. Vulin,D,-,17,Bosnia & Herzegovina,Non renseigné,bundesliga,union_berlin
2170290,Bennett Wilp,B. Wilp,D,-,17,USA,Non renseigné,bundesliga,union_berlin
2304111,Sadou Barry,S. Barry,D,-,18,Germany,Non renseigné,bundesliga,union_berlin
2652601,Michael Etobe,M. Etobe,D,-,16,Germany,Non renseigné,bundesliga,union_berlin
137692,Frederik Rønnow,F. Rønnow,G,1,33,Denmark,2100000,bundesliga,union_berlin
842718,Matheo Raab,M. Raab,G,31,27,Germany,560000,bundesliga,union_berlin
148167,Carl Klaus,C. Klaus,G,25,32,Germany,335000,bundesliga,union_berlin
2048709,Fritz Gagzow,F. Gagzow,G,-,17,Germany,Non renseigné,bundesliga,union_berlin
