player_id,name,short_name,position,jersey_number,age,country,market_value_raw,league,club
794298,Deniz Undav,D. Undav,F,26,29,Germany,20000000,bundesliga,vfb_stuttgart
878081,Ermedin Demirović,E. Demirović,F,9,28,Bosnia & Herzegovina,20000000,bundesliga,vfb_stuttgart
1464642,Jeremy Arevalo,J. Arévalo,F,25,21,Ecuador,7200000,bundesliga,vfb_stuttgart
1154491,Jovan Milošević,J. Milošević,F,19,20,Serbia,7200000,bundesliga,vfb_stuttgart
983540,Tiago Tomás,T. Tomás,F,8,24,Portugal,14600000,bundesliga,vfb_stuttgart
2190082,Tim van der Leij,T. v. d. Leij,F,11,20,Netherlands,440000,bundesliga,vfb_stuttgart
1126569,Bilal El Khannouss,B. E. Khannouss,M,11,22,Morocco,32000000,bundesliga,vfb_stuttgart
1153265,Badredine Bouanani,B. Bouanani,M,27,21,Algeria,10500000,bundesliga,vfb_stuttgart
901882,Angelo Stiller,A. Stiller,M,6,25,Germany,46000000,bundesliga,vfb_stuttgart
1464641,Chema Andrés,C. Andrés,M,30,21,Spain,19400000,bundesliga,vfb_stuttgart
990201,Jamie Leweling,J. Leweling,M,18,25,Germany,37000000,bundesliga,vfb_stuttgart
891510,Chris Führich,C. Führich,M,10,28,Germany,11600000,bundesliga,vfb_stuttgart
801030,Atakan Karazor,A. Karazor,M,16,29,Türkiye,8800000,bundesliga,vfb_stuttgart
1427148,Lazar Jovanović,L. Jovanović,M,45,19,Serbia,3800000,bundesliga,vfb_stuttgart
861981,Nikolas Nartey,N. Nartey,M,28,26,Denmark,10300000,bundesliga,vfb_stuttgart
1152486,Laurin Ulrich,L. Ulrich,M,10,21,Germany,3200000,bundesliga,vfb_stuttgart
1937274,Mirza Ćatović,M. Ćatović,M,35,19,Germany,3600000,bundesliga,vfb_stuttgart
1146132,Justin Diehl,J. Diehl,M,17,21,Germany,1100000,bundesliga,vfb_stuttgart
253993,Grischa Prömel,G. Prömel,M,6,31,Germany,3600000,bundesliga,vfb_stuttgart
788949,Maximilian Mittelstädt,M. Mittelstädt,D,7,29,Germany,19800000,bundesliga,vfb_stuttgart
1418649,Finn Jeltsch,F. Jeltsch,D,29,20,Germany,32000000,bundesliga,vfb_stuttgart
826205,Dan Zagadou,D. Zagadou,D,23,27,France,1900000,bundesliga,vfb_stuttgart
863271,Jeff Chabot,J. Chabot,D,24,28,Germany,15500000,bundesliga,vfb_stuttgart
1127823,Luca Jaquez,L. Jaquez,D,14,23,Switzerland,10700000,bundesliga,vfb_stuttgart
1979970,Ameen Al-Dakhil,A. Al-Dakhil,D,2,24,Belgium,3100000,bundesliga,vfb_stuttgart
906278,Josha Vagnoman,J. Vagnoman,D,4,25,Germany,10300000,bundesliga,vfb_stuttgart
1009334,Lorenz Assignon,L. Assignon,D,22,26,France,8700000,bundesliga,vfb_stuttgart
962898,Leonidas Stergiou,L. Stergiou,D,20,24,Switzerland,2700000,bundesliga,vfb_stuttgart
916943,Ramon Hendriks,R. Hendriks,D,3,25,Netherlands,24000000,bundesliga,vfb_stuttgart
1195736,Dennis Seimen,D. Seimen,G,41,20,Germany,9500000,bundesliga,vfb_stuttgart
152463,Fabian Bredlow,F. Bredlow,G,1,31,Germany,725000,bundesliga,vfb_stuttgart
930339,Stefan Drljača,S. Drljača,G,21,27,Germany,280000,bundesliga,vfb_stuttgart
222770,Marius Funk,M. Funk,G,33,30,Germany,290000,bundesliga,vfb_stuttgart
