player_id,name,short_name,position,jersey_number,age,country,market_value_raw,league,club
135264,Yussuf Poulsen,Y. Poulsen,F,15,32,Denmark,935000,bundesliga,vfl_bochum
1568535,Otto Stange,O. Stange,F,49,19,Germany,4300000,bundesliga,vfl_bochum
789192,Jean-Luc Dompé,J. Dompé,F,7,30,France,2400000,bundesliga,vfl_bochum
991824,Rayan Philippe,R. Philippe,F,14,25,France,4099999,bundesliga,vfl_bochum
1862226,Alexander Røssing-Lelesiit,A. Røssing-Lelesiit,F,38,19,Norway,4700000,bundesliga,vfl_bochum
1546267,Fabio Baldé,F. Baldé,F,45,20,Portugal,4600000,bundesliga,vfl_bochum
2437638,Jannes von Diczelski,J. v. Diczelski,F,-,17,Germany,82000,bundesliga,vfl_bochum
2291745,Finn Jan Erik Barkowsky,F. J. E. Barkowsky,F,-,18,Germany,Non renseigné,bundesliga,vfl_bochum
2609699,Thierry Sedlatschek,T. Sedlatschek,F,-,17,Germany,Non renseigné,bundesliga,vfl_bochum
901892,Albert Sambi Lokonga,A. Sambi Lokonga,M,6,26,Belgium,12400000,bundesliga,vfl_bochum
1000263,Albert Grønbæk,A. Grønbæk,M,23,25,Denmark,5300000,bundesliga,vfl_bochum
841985,Emir Sahiti,E. Sahiti,M,29,27,Kosovo,1500000,bundesliga,vfl_bochum
798303,Miro Muheim,M. Muheim,M,28,28,Switzerland,5300000,bundesliga,vfl_bochum
1158529,Martin Adeline,M. Adeline,M,5,22,France,9200000,bundesliga,vfl_bochum
842526,Bakery Jatta,B. Jatta,M,18,28,Gambia,1000000,bundesliga,vfl_bochum
989203,Immanuel Pherai,I. Pherai,M,10,25,Suriname,1600000,bundesliga,vfl_bochum
1064305,Nicolai Remberg,N. Remberg,M,21,26,Germany,8400000,bundesliga,vfl_bochum
1467703,Kofi Jeremy Amoako,K. J. Amoako,M,6,21,Germany,3800000,bundesliga,vfl_bochum
2289549,Mads Bröcker,M. Bröcker,M,23,18,Germany,Non renseigné,bundesliga,vfl_bochum
973564,Nicolás Capaldo,N. Capaldo,D,24,27,Argentina,8400000,bundesliga,vfl_bochum
801003,Jordan Torunarigha,J. Torunarigha,D,25,28,Nigeria,4099999,bundesliga,vfl_bochum
999030,Warmed Omari,W. Omari,D,17,26,Comoros,3900000,bundesliga,vfl_bochum
945532,Daniel Elfadli,D. Elfadli,D,8,29,Libya,3300000,bundesliga,vfl_bochum
1995000,Louis Lemke,L. Lemke,D,37,16,Germany,320000,bundesliga,vfl_bochum
1409359,Joel Agyekum,J. Agyekum,D,39,21,Germany,145000,bundesliga,vfl_bochum
2204961,Shafiq Nandja,S. Nandja,D,43,19,Germany,530000,bundesliga,vfl_bochum
2524633,Jason Dean Bissi Mouelle,J. D. B. Mouelle,D,-,18,Germany,Non renseigné,bundesliga,vfl_bochum
1030355,Sander Tangvik,S. Tangvik,G,12,23,Norway,2700000,bundesliga,vfl_bochum
113442,Daniel Fernandes,D. Fernandes,G,1,33,Portugal,1300000,bundesliga,vfl_bochum
1489167,Fernando Dickes,F. Dickes,G,41,18,Germany,285000,bundesliga,vfl_bochum
1971557,Elias Lahti,E. Lahti,G,12,17,Finland,Non renseigné,bundesliga,vfl_bochum
12860,Volker Schmidt,V. Schmidt,Inconnu,-,47,Germany,Non renseigné,bundesliga,vfl_bochum
