player_id,name,short_name,position,jersey_number,age,country,market_value_raw,league,club
926995,Naatan Skyttä,N. Skyttä,F,15,24,Finland,5200000,bundesliga,werder_bremen
796672,Ivan Prtajin,I. Prtajin,F,9,30,Croatia,965000,bundesliga,werder_bremen
989168,Erencan Yardımcı,E. Yardımcı,F,9,24,Türkiye,1600000,bundesliga,werder_bremen
770083,Mergim Berisha,M. Berisha,F,20,28,Germany,1300000,bundesliga,werder_bremen
169233,Marlon Ritter,M. Ritter,F,7,31,Germany,875000,bundesliga,werder_bremen
1046449,Dickson Abiama,D. Abiama,F,27,27,Nigeria,430000,bundesliga,werder_bremen
1566319,Thierry Fidjeu-Tazemeta,T. Fidjeu-Tazemeta,F,17,18,Austria,Non renseigné,bundesliga,werder_bremen
832998,Jannik Mause,J. Mause,F,18,28,Germany,310000,bundesliga,werder_bremen
2579519,Ben Jungfleisch,B. Jungfleisch,F,47,18,Germany,245000,bundesliga,werder_bremen
2294581,Kian Scheer,K. Scheer,F,-,19,Germany,Non renseigné,bundesliga,werder_bremen
1542745,Ibrahim Kanate,I. Kanate,M,99,19,Mali,915000,bundesliga,werder_bremen
1130986,Paul Joly,P. Joly,M,26,26,France,1800000,bundesliga,werder_bremen
978767,Semih Şahin,S. Şahin,M,8,26,Germany,1600000,bundesliga,werder_bremen
1445608,Mika Haas,M. Haas,M,22,20,Germany,2900000,bundesliga,werder_bremen
2331052,Dion Hofmeister,D. Hofmeister,M,44,17,Germany,1000000,bundesliga,werder_bremen
823226,Fabian Kunze,F. Kunze,M,6,28,Germany,1200000,bundesliga,werder_bremen
928271,Simon Asta,S. Asta,M,2,25,Germany,760000,bundesliga,werder_bremen
837064,Frank Ronstadt,F. Ronstadt,M,17,28,Germany,260000,bundesliga,werder_bremen
1885160,Leon Robinson,L. Robinson,M,37,25,Germany,865000,bundesliga,werder_bremen
2407934,Owen Gibs,O. Gibs,M,43,19,Germany,210000,bundesliga,werder_bremen
2579520,David Schramm,D. Schramm,M,41,20,Germany,485000,bundesliga,werder_bremen
2407935,Erik Muller,E. Muller,M,42,20,Germany,Non renseigné,bundesliga,werder_bremen
842176,Jacob Rasmussen,J. Rasmussen,D,14,29,Denmark,1100000,bundesliga,werder_bremen
1937263,Ivan Knezevic,I. Knezevic,D,25,19,Croatia,Non renseigné,bundesliga,werder_bremen
987512,Maxwell Gyamfi,M. Gyamfi,D,4,26,Germany,1000000,bundesliga,werder_bremen
576154,Jan Elvedi,J. Elvedi,D,33,29,Switzerland,725000,bundesliga,werder_bremen
1864768,Kelven Frees ,K. Frees ,D,45,21,Germany,515000,bundesliga,werder_bremen
796043,Erik Wekesser,E. Wekesser,D,13,29,Germany,425000,bundesliga,werder_bremen
944100,Julian Krahl,J. Krahl,G,1,26,Germany,960000,bundesliga,werder_bremen
2152106,Enis Kamga,E. Kamga,G,40,19,Germany,280000,bundesliga,werder_bremen
1996497,Yannick Onohiol,Y. Onohiol,G,34,21,Germany,180000,bundesliga,werder_bremen
