player_id,name,short_name,position,jersey_number,age,country,market_value_raw,league,club
1520799,Maroan Sannadi,M. Sannadi,F,21,25,Morocco,2800000,la_liga,athletic_bilbao
605672,Gorka Guruzeta,G. Guruzeta,F,11,29,Spain,4600000,la_liga,athletic_bilbao
1160960,Álvaro Djaló,Á. Djaló,F,11,26,Guinea-Bissau,4300000,la_liga,athletic_bilbao
1085400,Nico Williams,N. Williams,M,10,24,Spain,44000000,la_liga,athletic_bilbao
783374,Iñaki Williams,I. Williams,M,9,32,Ghana,7300000,la_liga,athletic_bilbao
966801,Oihan Sancet,O. Sancet,M,8,26,Spain,24000000,la_liga,athletic_bilbao
592012,Álex Berenguer,Á. Berenguer,M,7,31,Spain,4099999,la_liga,athletic_bilbao
1495844,Mikel Jauregizar,M. Jauregizar,M,18,22,Spain,31000000,la_liga,athletic_bilbao
96365,Iñigo Ruiz de Galarreta,I. R. d. Galarreta,M,16,32,Spain,1800000,la_liga,athletic_bilbao
944165,Robert Navarro,R. Navarro,M,23,24,Spain,6500000,la_liga,athletic_bilbao
2110897,Alejandro Rego Mora,A. Rego Mora,M,30,23,Spain,5500000,la_liga,athletic_bilbao
1012409,Beñat Prados,B. Prados,M,24,25,Spain,15500000,la_liga,athletic_bilbao
1953923,Selton Sanchez,S. Sánchez,M,44,19,Spain,2900000,la_liga,athletic_bilbao
1464648,Peio Canales,P. Canales,M,18,21,Spain,9700000,la_liga,athletic_bilbao
359742,Mikel Vesga,M. Vesga,M,6,33,Spain,1200000,la_liga,athletic_bilbao
1019318,Nico Serrano,N. Serrano,M,22,23,Spain,1600000,la_liga,athletic_bilbao
966802,Unai Vencedor,U. Vencedor,M,13,25,Spain,1500000,la_liga,athletic_bilbao
1171619,Beñat Gerenabarrena,B. Gerenabarrena,M,29,23,Spain,1000000,la_liga,athletic_bilbao
149734,Aymeric Laporte,A. Laporte,D,14,32,Spain,8400000,la_liga,athletic_bilbao
910978,Dani Vivian,D. Vivian,D,3,27,Spain,18200000,la_liga,athletic_bilbao
1398511,Adama Boiro,A. Boiro,D,19,24,Spain,2300000,la_liga,athletic_bilbao
84531,Yuri Berchiche,Y. Berchiche,D,17,36,Spain,910000,la_liga,athletic_bilbao
959872,Aitor Paredes,A. Paredes,D,4,26,Spain,7100000,la_liga,athletic_bilbao
807648,Yeray Álvarez,Y. Álvarez,D,-,31,Spain,930000,la_liga,athletic_bilbao
910267,Jesús Areso,J. Areso,D,12,27,Spain,5500000,la_liga,athletic_bilbao
866810,Andoni Gorosabel,A. Gorosabel,D,2,29,Spain,2900000,la_liga,athletic_bilbao
1632454,Hugo Rincón,H. Rincón,D,34,23,Spain,3400000,la_liga,athletic_bilbao
1391374,Unai Eguíluz,U. Eguíluz,D,13,24,Spain,410000,la_liga,athletic_bilbao
797291,Unai Simón,U. Simón,G,1,29,Spain,21000000,la_liga,athletic_bilbao
1155116,Alex Padilla,Á. Padilla,G,27,22,Mexico,3100000,la_liga,athletic_bilbao
1014412,Julen Agirrezabala,J. Agirrezabala,G,13,25,Spain,9800000,la_liga,athletic_bilbao
1102713,Mikel Santos,M. Santos,G,26,21,Spain,290000,la_liga,athletic_bilbao
