player_id,name,short_name,position,jersey_number,age,country,market_value_raw,league,club
785989,Borja Iglesias,B. Iglesias,F,7,33,Spain,2900000,la_liga,celta_vigo
19356,Iago Aspas,I. Aspas,F,10,38,Spain,1500000,la_liga,celta_vigo
949962,Ferran Jutglà,F. Jutglà,F,9,27,Spain,10700000,la_liga,celta_vigo
1173575,Jones El-Abdellaoui,J. El-Abdellaoui,F,39,20,Morocco,8400000,la_liga,celta_vigo
1398524,Pablo Durán,P. Durán,F,18,25,Spain,4099999,la_liga,celta_vigo
1540421,Bernard Somuah,B. Somuah,F,17,20,Ghana,390000,la_liga,celta_vigo
962890,Ilaix Moriba,I. Moriba,M,6,23,Guinea,13700000,la_liga,celta_vigo
1126779,Williot Swedberg,W. Swedberg,M,19,22,Sweden,18700000,la_liga,celta_vigo
158615,Matías Vecino,M. Vecino,M,15,34,Uruguay,1100000,la_liga,celta_vigo
286167,Aleix Febas,A. Febas,M,14,30,Spain,5200000,la_liga,celta_vigo
794950,Carles Pérez,C. Pérez,M,7,28,Spain,1700000,la_liga,celta_vigo
1154935,Hugo Álvarez,H. Álvarez,M,23,23,Spain,7800000,la_liga,celta_vigo
1120669,Hugo Sotelo,H. Sotelo,M,22,22,Spain,4800000,la_liga,celta_vigo
1002764,Sergio Carreira,S. Carreira,M,5,25,Spain,11500000,la_liga,celta_vigo
1008259,Javier Rueda,J. Rueda,M,17,24,Spain,6200000,la_liga,celta_vigo
997221,Carlos Dotor,C. Dotor,M,12,25,Spain,1200000,la_liga,celta_vigo
1398526,Miguel Román,M. Román,M,16,23,Spain,14400000,la_liga,celta_vigo
1216080,Damián Rodríguez,D. Rodríguez,M,14,23,Spain,1900000,la_liga,celta_vigo
996931,Hugo González,H. González,M,30,23,Spain,720000,la_liga,celta_vigo
1466120,Oscar Marcos,Ó. Marcos,M,33,20,Spain,875000,la_liga,celta_vigo
1832051,Angel Arcos,Á. Arcos,M,28,20,Spain,485000,la_liga,celta_vigo
1858279,Hugo Burcio,H. Burcio,M,31,19,Spain,480000,la_liga,celta_vigo
69408,Marcos Alonso,M. Alonso,D,20,35,Spain,1300000,la_liga,celta_vigo
825133,Javi Galán,J. Galán,D,20,31,Spain,1700000,la_liga,celta_vigo
360718,Carl Starfelt,C. Starfelt,D,2,31,Sweden,4099999,la_liga,celta_vigo
892521,Unai Núñez,U. Núñez,D,4,29,Spain,3300000,la_liga,celta_vigo
984789,Manuel Sánchez,M. Sánchez,D,23,25,Spain,6400000,la_liga,celta_vigo
1526627,Javi Rodríguez,J. Rodríguez,D,32,23,Spain,17500000,la_liga,celta_vigo
1012410,Alvaro Núñez,A. Núñez,D,14,26,Spain,3900000,la_liga,celta_vigo
1145100,Yoel Lago,Y. Lago,D,29,22,Spain,3700000,la_liga,celta_vigo
1069703,Carlos Domínguez,C. Domínguez,D,24,25,Spain,1900000,la_liga,celta_vigo
1630975,Manu Fernández,M. Fernández,D,12,25,Spain,1400000,la_liga,celta_vigo
1014434,Joel Lopez Salguero,J. L. Salguero,D,18,24,Spain,310000,la_liga,celta_vigo
815202,Ionuț Radu,I. Radu,G,13,29,Romania,8700000,la_liga,celta_vigo
848980,Iván Villar,I. Villar,G,1,29,Spain,960000,la_liga,celta_vigo
1114427,Coke Carrillo,C. Carrillo,G,1,24,Spain,290000,la_liga,celta_vigo
