player_id,name,short_name,position,jersey_number,age,country,market_value_raw,league,club
976374,Vladyslav Vanat,V. Vanat,F,19,24,Ukraine,13900000,la_liga,girona
826013,Abel Ruíz,A. Ruíz,F,9,26,Spain,1900000,la_liga,girona
218616,Portu,Portu,F,8,34,Spain,1300000,la_liga,girona
1892528,Min-su Kim,M. Kim,F,29,20,South Korea,5300000,la_liga,girona
1151851,Dawda Camara,D. Camara,F,14,23,Mauritania,1100000,la_liga,girona
1563593,Oleksandr Pyshchur,O. Pyshchur,F,19,21,Ukraine,360000,la_liga,girona
1518119,Jastin García,J. García,F,31,22,Portugal,455000,la_liga,girona
991421,Azzedine Ounahi,A. Ounahi,M,18,26,Morocco,10300000,la_liga,girona
1092769,Yáser Asprilla,Y. Asprilla,M,10,22,Colombia,15000000,la_liga,girona
361790,Donny van de Beek,D. van de Beek,M,6,29,Netherlands,1900000,la_liga,girona
319735,Viktor Tsygankov,V. Tsygankov,M,15,28,Ukraine,15700000,la_liga,girona
910026,Bryan Gil,B. Gil,M,21,25,Spain,8199999,la_liga,girona
973699,Iván Martín,I. Martín,M,23,27,Spain,4600000,la_liga,girona
835484,Fran Beltrán,F. Beltrán,M,8,27,Spain,4200000,la_liga,girona
1142566,Gabriel Misehouy,G. Misehouy,M,27,21,Netherlands,875000,la_liga,girona
2235122,Izan González,I. González,M,41,21,Spain,1000000,la_liga,girona
910021,Iván Morante,I. Morante,M,23,25,Spain,970000,la_liga,girona
1084081,Arnau Martínez,A. Martínez,D,4,23,Spain,10800000,la_liga,girona
1471513,Antal Yaakobishvili,A. Yaakobishvili,D,35,22,Hungary,185000,la_liga,girona
294593,Álex Moreno,Á. Moreno,D,24,33,Spain,3100000,la_liga,girona
1002347,Alejandro Francés,A. Francés,D,16,23,Spain,2800000,la_liga,girona
135116,David López,D. López,D,-,36,Spain,545000,la_liga,girona
164343,Paulo Gazzaniga,P. Gazzaniga,G,13,34,Argentina,1900000,la_liga,girona
1521733,Vladyslav Krapyvtsov,V. Krapyvtsov,G,25,21,Ukraine,330000,la_liga,girona
859768,Sergi Puig,S. Puig,G,13,27,Spain,53000,la_liga,girona
