player_id,name,short_name,position,jersey_number,age,country,market_value_raw,league,club
1103233,Etienne Eto'o Pineda,E. E. Pineda,F,10,23,Cameroon,280000,la_liga,rayo_vallecano
981604,Alemão,Alemão,F,9,28,Brazil,4400000,la_liga,rayo_vallecano
900003,Jorge de Frutos,J. de Frutos,F,19,29,Spain,10900000,la_liga,rayo_vallecano
910024,Sergio Camello,S. Camello,F,10,25,Spain,3300000,la_liga,rayo_vallecano
932764,Randy Nteka,R. Nteka,F,11,28,Angola,1000000,la_liga,rayo_vallecano
138387,Raúl de Tomás,R. de Tomás,F,9,31,Spain,440000,la_liga,rayo_vallecano
2399595,Ivan Alonso Martin,I. Alonso Martin,F,31,20,Spain,24000,la_liga,rayo_vallecano
913679,Pathé Ismaël Ciss,P. I. Ciss,M,6,32,Senegal,1600000,la_liga,rayo_vallecano
899982,Isi Palazón,I. Palazón,M,7,31,Spain,3000000,la_liga,rayo_vallecano
345111,Álvaro García,Á. García,M,18,33,Spain,1500000,la_liga,rayo_vallecano
900669,Pedro Díaz,P. Díaz,M,4,28,Spain,2900000,la_liga,rayo_vallecano
588566,Unai López,U. López,M,17,30,Spain,2600000,la_liga,rayo_vallecano
900008,Óscar Valentín,Ó. Valentín,M,23,31,Spain,1900000,la_liga,rayo_vallecano
966637,Fran Pérez,F. Pérez,M,21,23,Spain,2300000,la_liga,rayo_vallecano
2198232,Samu Becerra,S. Becerra,M,28,20,Spain,310000,la_liga,rayo_vallecano
2406212,Marco Román,M. Román,M,31,20,Spain,24000,la_liga,rayo_vallecano
965031,Andrei Rațiu,A. Rațiu,D,2,28,Romania,16700000,la_liga,rayo_vallecano
1458073,Nobel Mendy,N. Mendy,D,32,21,Senegal,7700000,la_liga,rayo_vallecano
88528,Florian Lejeune,F. Lejeune,D,24,35,France,1700000,la_liga,rayo_vallecano
850035,Luiz Felipe,L. Felipe,D,-,29,Italy,2100000,la_liga,rayo_vallecano
1010421,Pep Chavarría,J. Chavarría,D,3,28,Spain,9700000,la_liga,rayo_vallecano
152446,Iván Balliu,I. Balliu,D,20,34,Albania,1100000,la_liga,rayo_vallecano
1120947,Jozhua Vertrouwd,J. Vertrouwd,D,33,21,Netherlands,2100000,la_liga,rayo_vallecano
1139724,Pelayo Fernández,P. Fernández,D,27,23,Spain,520000,la_liga,rayo_vallecano
1893146,Marco de las Sias,M. d. l. Sías,D,26,20,Spain,160000,la_liga,rayo_vallecano
2073672,Sergio Lozano,S. Lozano,D,27,20,Spain,46000,la_liga,rayo_vallecano
358910,Augusto Batalla,A. Batalla,G,13,30,Argentina,5800000,la_liga,rayo_vallecano
965832,Dani Cárdenas,D. Cárdenas,G,1,29,Spain,1700000,la_liga,rayo_vallecano
1893144,Adrián Molina,A. Molina,G,30,20,Spain,Non renseigné,la_liga,rayo_vallecano
