player_id,name,short_name,position,jersey_number,age,country,market_value_raw,league,club
887055,Cucho Hernández,C. Hernández,F,19,27,Colombia,16500000,la_liga,real_betis
1482378,Gonzalo Petit,G. Petit,F,9,19,Uruguay,4200000,la_liga,real_betis
2235115,Kwame Sosu,K. Sosu,F,14,20,Ghana,49000,la_liga,real_betis
958380,Antony,Antony,M,7,26,Brazil,37000000,la_liga,real_betis
1011375,Abdessamad Ezzalzouli,A. Ezzalzouli,M,10,24,Morocco,43000000,la_liga,real_betis
103417,Isco,Isco,M,22,34,Spain,3600000,la_liga,real_betis
798835,Giovani Lo Celso,G. Lo Celso,M,20,30,Argentina,7800000,la_liga,real_betis
838629,Álvaro Fidalgo,Á. Fidalgo,M,15,29,Mexico,6500000,la_liga,real_betis
1129401,Nelson Deossa,N. Deossa,M,18,26,Colombia,9800000,la_liga,real_betis
989113,Rodrigo Riquelme,R. Riquelme,M,17,26,Spain,4300000,la_liga,real_betis
816763,Pablo Fornals,P. Fornals,M,8,30,Spain,8400000,la_liga,real_betis
1893910,Pablo García,P. García,M,52,20,Spain,8199999,la_liga,real_betis
1177404,Facundo Bernal,F. Bernal,M,5,22,Uruguay,5800000,la_liga,real_betis
847128,Marc Roca,M. Roca,M,21,29,Spain,4200000,la_liga,real_betis
992331,Iker Losada,I. Losada,M,14,24,Spain,2000000,la_liga,real_betis
1976132,Rica Fúnez,R. Funez,M,8,19,Spain,23000,la_liga,real_betis
851271,Fran García,F. Garcia,D,20,26,Spain,9200000,la_liga,real_betis
188365,Héctor Bellerín,H. Bellerín,D,2,31,Spain,2500000,la_liga,real_betis
1015287,Natan,Natan,D,4,25,Brazil,26000000,la_liga,real_betis
914835,Junior Firpo,J. Firpo,D,23,29,Dominican Republic,3400000,la_liga,real_betis
1186010,Valentín Gómez,V. Gómez,D,16,23,Argentina,11200000,la_liga,real_betis
99519,Marc Bartra,M. Bartra,D,5,35,Spain,930000,la_liga,real_betis
305278,Diego Llorente,D. Llorente,D,3,32,Spain,2600000,la_liga,real_betis
893062,Aitor Ruibal,A. Ruibal,D,24,30,Spain,3900000,la_liga,real_betis
1152139,Angel Ortiz,Á. Ortiz,D,40,21,Spain,4400000,la_liga,real_betis
964983,Álvaro Valles,Á. Valles,G,1,28,Spain,6500000,la_liga,real_betis
1410332,Guilherme Fernandes,G. Fernandes,G,31,25,Portugal,775000,la_liga,real_betis
