player_id,name,short_name,position,jersey_number,age,country,market_value_raw,league,club
804508,Viktor Gyökeres,V. Gyökeres,F,14,28,Sweden,61000000,premier_league,arsenal
934235,Bukayo Saka,B. Saka,F,7,24,England,115000000,premier_league,arsenal
836705,Kai Havertz,K. Havertz,F,29,27,Germany,53000000,premier_league,arsenal
922573,Gabriel Martinelli,G. Martinelli,F,11,25,Brazil,42000000,premier_league,arsenal
794839,Gabriel Jesus,G. Jesus,F,9,29,Brazil,17600000,premier_league,arsenal
966547,Noni Madueke,N. Madueke,F,20,24,England,54000000,premier_league,arsenal
547410,Martin Ødegaard,M. Ødegaard,M,8,27,Norway,71000000,premier_league,arsenal
856714,Declan Rice,D. Rice,M,41,27,England,114000000,premier_league,arsenal
864921,Eberechi Eze,E. Eze,M,10,28,England,69000000,premier_league,arsenal
592010,Mikel Merino,M. Merino,M,23,30,Spain,26000000,premier_league,arsenal
1917626,Max Dowman,M. Dowman,M,56,16,England,31000000,premier_league,arsenal
966837,Martín Zubimendi,M. Zubimendi,M,36,27,Spain,77000000,premier_league,arsenal
1401702,Ethan Nwaneri,E. Nwaneri,M,22,19,England,34000000,premier_league,arsenal
135256,Christian Nørgaard,C. Nørgaard,M,16,32,Denmark,4800000,premier_league,arsenal
904835,Fábio Vieira,F. Vieira,M,21,26,Portugal,16600000,premier_league,arsenal
826139,Reiss Nelson,R. Nelson,M,24,26,England,8800000,premier_league,arsenal
869792,Gabriel Magalhães,G. Magalhães,D,6,28,Brazil,70000000,premier_league,arsenal
941168,William Saliba,W. Saliba,D,2,25,France,94000000,premier_league,arsenal
1002837,Piero Hincapié,P. Hincapié,D,5,24,Ecuador,46000000,premier_league,arsenal
958959,Jurriën Timber,J. Timber,D,12,25,Netherlands,73000000,premier_league,arsenal
957602,Riccardo Calafiori,R. Calafiori,D,33,24,Italy,53000000,premier_league,arsenal
1144630,Cristhian Mosquera,C. Mosquera,D,3,22,Spain,38000000,premier_league,arsenal
1423711,Myles Lewis-Skelly,M. Lewis-Skelly,D,49,19,England,48000000,premier_league,arsenal
846036,Ben White,B. White,D,4,28,England,27000000,premier_league,arsenal
581310,David Raya,D. Raya,G,1,30,Spain,33000000,premier_league,arsenal
232422,Kepa Arrizabalaga,K. Arrizabalaga,G,13,31,Spain,5300000,premier_league,arsenal
906076,Illan Meslier,I. Meslier,G,-,26,France,7500000,premier_league,arsenal
1150958,Tommy Setford,T. Setford,G,35,20,England,515000,premier_league,arsenal
