player_id,name,short_name,position,jersey_number,age,country,market_value_raw,league,club
846061,Brandon Thomas-Asante,B. Thomas-Asante,F,23,27,Ghana,16500000,premier_league,ipswich_town
818391,Haji Wright,H. Wright,F,11,28,USA,16600000,premier_league,ipswich_town
1004505,Loum Tchaouna,L. Tchaouna,F,17,22,France,13800000,premier_league,ipswich_town
991614,Ellis Simms,E. Simms,F,9,25,England,11500000,premier_league,ipswich_town
1137328,Norman Bassette,N. Bassette,F,37,21,Belgium,1500000,premier_league,ipswich_town
1142326,Jahnoah Markelo,J. Markelo,F,24,23,Suriname,3300000,premier_league,ipswich_town
885864,Frank Onyeka,F. Onyeka,M,16,28,Nigeria,7700000,premier_league,ipswich_town
978927,Tatsuhiro Sakamoto,T. Sakamoto,M,7,29,Japan,4300000,premier_league,ipswich_town
861315,Ephron Mason-Clark,M. Ephron,M,10,26,Jamaica,17200000,premier_league,ipswich_town
979565,Jack Rudoni,J. Rudoni,M,5,25,England,21000000,premier_league,ipswich_town
837011,Victor Torp,V. Torp,M,29,26,Denmark,14500000,premier_league,ipswich_town
340713,Matt Grimes,M. Grimes,M,6,31,England,5200000,premier_league,ipswich_town
944245,Josh Eccles,J. Eccles,M,28,26,England,9600000,premier_league,ipswich_town
1521381,Kai Andrews,K. Andrews,M,54,20,Wales,485000,premier_league,ipswich_town
995962,Raphael Rodrigues,R. Rodrigues,M,17,22,Australia,480000,premier_league,ipswich_town
2578092,Harri Laidler,H. Laidler,M,-,17,Wales,Non renseigné,premier_league,ipswich_town
999276,Aurèle Amenda,A. Amenda,D,5,22,Switzerland,10300000,premier_league,ipswich_town
948723,Milan van Ewijk,M. v. Ewijk,D,27,25,Netherlands,23000000,premier_league,ipswich_town
859763,Joel Latibeaudiere,J. Latibeaudiere,D,22,26,Jamaica,3300000,premier_league,ipswich_town
1099074,Kaine Kesler-Hayden,K. Kesler-Hayden,D,20,23,England,3200000,premier_league,ipswich_town
1033352,Bobby Thomas,B. Thomas,D,4,25,England,16500000,premier_league,ipswich_town
791985,Jay DaSilva,J. DaSilva,D,15,28,Wales,8700000,premier_league,ipswich_town
893478,Luke Woolfenden,L. Woolfenden,D,26,27,England,2100000,premier_league,ipswich_town
921006,Liam Kitching,L. Kitching,D,15,26,England,15200000,premier_league,ipswich_town
103115,Jake Bidwell,J. Bidwell,D,21,33,England,580000,premier_league,ipswich_town
1089161,Miguel Ángel Brau,M. Á. Brau,D,33,24,Spain,1000000,premier_league,ipswich_town
1520805,Callum Perry,C. Perry,D,41,20,England,Non renseigné,premier_league,ipswich_town
2661253,Tristen Batanwi,T. Batanwi,D,-,20,England,Non renseigné,premier_league,ipswich_town
984582,Oliver Dovin,O. Dovin,G,1,24,Sweden,2200000,premier_league,ipswich_town
216590,Ben Wilson,B. Wilson,G,13,33,England,290000,premier_league,ipswich_town
1637685,Oscar Varney,O. Varney,G,51,19,England,Non renseigné,premier_league,ipswich_town
1961111,Eliot Meredith,E. Meredith,G,-,18,Wales,Non renseigné,premier_league,ipswich_town
