player_id,name,short_name,position,jersey_number,age,country,market_value_raw,league,club
1618565,Bogdan Popov,B. Popov,F,77,19,Ukraine,2600000,serie_a,como
1142825,Stiven Shpendi,S. Shpendi,F,11,23,Albania,4200000,serie_a,como
1825909,Thomas Campaniello,T. Campaniello,F,89,18,Italy,930000,serie_a,como
1006079,Herculano Nabian,H. Nabian,F,25,22,Portugal,110000,serie_a,como
1910487,Mateo Stickler,M. Stickler,F,-,20,San Marino,54000,serie_a,como
1011758,Edoardo Saporiti,E. Saporiti,F,70,24,Italy,680000,serie_a,como
928779,Flavio Bianchi,F. Bianchi,F,99,26,Italy,210000,serie_a,como
1799447,Andrea Orlandi,A. Orlandi,F,96,19,Italy,180000,serie_a,como
1167928,Andrea Sodero,A. Sodero,F,14,21,Italy,165000,serie_a,como
360572,Salvatore Monaco,S. Monaco,F,11,19,Italy,320000,serie_a,como
841113,Joseph Ceesay,J. Ceesay,M,15,28,Gambia,640000,serie_a,como
1067220,Gerard Yepes,G. Yepes,M,28,23,Spain,710000,serie_a,como
928125,Salvatore Elia,S. Elia,M,7,27,Italy,2300000,serie_a,como
1015856,Duccio Degli Innocenti,D. D. Innocenti,M,6,23,Italy,1300000,serie_a,como
941601,Luca Belardinelli,L. Belardinelli,M,57,25,Italy,440000,serie_a,como
1931448,Danilo Busiello,D. Busiello,M,53,18,Italy,515000,serie_a,como
866125,Luca Magnino,L. Magnino,M,8,28,Italy,390000,serie_a,como
1955539,Ank Asmussen,A. Asmussen,M,-,20,Denmark,49000,serie_a,como
1825906,Giovanni Lauricella,G. Lauricella,M,-,19,Italy,Non renseigné,serie_a,como
1137373,Gabriele Guarino,G. Guarino,D,34,22,Italy,3600000,serie_a,como
1618564,Dawid Bembnista,D. Bembnista,D,36,19,Poland,195000,serie_a,como
1466118,Lorenzo Tosto,L. Tosto,D,29,20,Italy,860000,serie_a,como
906656,Marco Curto,M. Curto,D,2,27,Italy,625000,serie_a,como
1067399,Gabriele Indragoli,G. Indragoli,D,28,22,Italy,275000,serie_a,como
1397725,Jacopo Seghetti,J. Seghetti,G,12,21,Italy,830000,serie_a,como
848420,Federico Brancolini,F. Brancolini,G,22,25,Italy,210000,serie_a,como
1137371,Emiliano Filippis,E. Filippis,G,1,22,Italy,180000,serie_a,como
794784,Samuele Perisan,S. Perisan,G,1,28,Italy,410000,serie_a,como
