player_id,name,short_name,position,jersey_number,age,country,market_value_raw,league,club
1155358,Dailon Rocha Livramento,D. R. Livramento,F,10,25,Cape Verde,775000,serie_a,hellas_verona
964154,Tomáš Suslov,T. Suslov,F,10,24,Slovakia,3900000,serie_a,hellas_verona
1018179,Daniel Mosquera,D. Mosquera,F,25,26,Colombia,1700000,serie_a,hellas_verona
1022204,Amin Sarr,A. Sarr,F,9,25,Sweden,2600000,serie_a,hellas_verona
983601,Kieron Bowie,K. Bowie,F,18,23,Scotland,7500000,serie_a,hellas_verona
1471239,Isaac,Isaac,F,41,22,Brazil,765000,serie_a,hellas_verona
1152477,Ioan Vermesan,I. Vermesan,F,90,19,Romania,970000,serie_a,hellas_verona
1017372,Juan Manuel Cruz,J. Cruz,F,18,27,Argentina,120000,serie_a,hellas_verona
1936811,Ruben Akale,R. Akalé,F,28,19,France,290000,serie_a,hellas_verona
1533987,Angelo Vapore,A. Vapore,F,-,20,Italy,Non renseigné,serie_a,hellas_verona
1103488,Rafik Belghali,R. Belghali,M,7,24,Algeria,7200000,serie_a,hellas_verona
897594,Domagoj Bradarić,D. Bradarić,M,12,26,Croatia,1600000,serie_a,hellas_verona
972523,Cheikh Niasse,C. Niasse,M,36,26,Senegal,1800000,serie_a,hellas_verona
915812,Abdou Harroui,A. Harroui,M,21,28,Morocco,1600000,serie_a,hellas_verona
800408,Suat Serdar,S. Serdar,M,8,29,Germany,2600000,serie_a,hellas_verona
791566,Grigoris Kastanos,G. Kastanos,M,28,28,Cyprus,1400000,serie_a,hellas_verona
837080,Antoine Bernede,A. Bernede,M,24,27,France,3400000,serie_a,hellas_verona
1211005,Yellu Santiago,J. Santiago,M,20,22,Spain,630000,serie_a,hellas_verona
998830,Daniel Oyegoke,D. Oyegoke,M,2,23,England,925000,serie_a,hellas_verona
1466543,Charlys,Charlys,M,8,22,Brazil,430000,serie_a,hellas_verona
1189254,Leorat Bega,L. Bega,M,8,23,Switzerland,290000,serie_a,hellas_verona
2207131,Salvatore Cerbone,S. Cerbone,M,35,18,Italy,325000,serie_a,hellas_verona
1492265,Davide De Battisti,D. D. Battisti,M,71,20,Italy,245000,serie_a,hellas_verona
1133236,Tobias Slotsager,T. Slotsager,D,19,20,Denmark,3100000,serie_a,hellas_verona
906963,Andrias Edmundsson,A. Edmundsson,D,5,25,Faroe Islands,3100000,serie_a,hellas_verona
874812,Martin Frese,M. Frese,D,3,28,Denmark,2700000,serie_a,hellas_verona
1945133,Fallou Cham,F. Cham,D,70,20,Gambia,920000,serie_a,hellas_verona
985900,Seid Korać,S. Korać,D,2,24,Luxembourg,1400000,serie_a,hellas_verona
1526305,Christian Corradi,C. Corradi,D,28,21,Italy,765000,serie_a,hellas_verona
1418078,Karlson Nwanege,K. Nwanege,D,-,21,Sweden,155000,serie_a,hellas_verona
1425823,Nicolò Calabrese,N. Calabrese,D,37,21,Italy,2100000,serie_a,hellas_verona
98059,Nicola Leali,N. Leali,G,-,33,Italy,920000,serie_a,hellas_verona
253391,Lorenzo Montipò,L. Montipò,G,1,30,Italy,1200000,serie_a,hellas_verona
253369,Simone Perilli,S. Perilli,G,-,31,Italy,375000,serie_a,hellas_verona
1137380,Giacomo Toniolo,G. Toniolo,G,94,22,Italy,78000,serie_a,hellas_verona
2026440,Arthur Borghi,A. R. Borghi,G,47,18,Brazil,52000,serie_a,hellas_verona
