player_id,name,short_name,position,jersey_number,age,country,market_value_raw,league,club
954318,Alessio Nepi,A. Nepi,F,90,26,Italy,185000,serie_a,venezia
2225587,Claudio Giardino,C. Giardino,F,30,19,Italy,220000,serie_a,venezia
348088,Luigi Canotto,L. Canotto,M,10,32,Italy,205000,serie_a,venezia
909668,Riccardo Ladinetti,R. Ladinetti,M,21,25,Italy,205000,serie_a,venezia
347454,Paolo Bartolomei,P. Bartolomei,M,16,36,Italy,79000,serie_a,venezia
827444,Linas Megelaitis,L. Megelaitis,M,32,27,Lithuania,310000,serie_a,venezia
851594,Don Bolsius,D. Bolsius,M,98,27,Netherlands,160000,serie_a,venezia
2228992,Christian Dottori,C. Dottori,M,19,17,Italy,425000,serie_a,venezia
953912,Giorgio Tumbarello,G. Tumbarello,M,20,30,Italy,210000,serie_a,venezia
1643837,Filippo Dodde,F. Dodde,M,4,20,Italy,26000,serie_a,venezia
2307843,Davide Ciani,D. Ciani,M,70,17,Italy,Non renseigné,serie_a,venezia
2307826,Samuele Calzoni,S. Calzoni,M,27,19,Italy,Non renseigné,serie_a,venezia
2228993,Francesco Berta,F. Berta,M,14,19,Italy,26000,serie_a,venezia
1930883,Andrea Ambrogi,A. Ambrogi,M,25,20,Italy,70000,serie_a,venezia
1012622,Diego Stramaccioni,D. Stramaccioni,D,13,25,Italy,160000,serie_a,venezia
347494,Cristian Dell Orco,C. Dell Orco,D,15,32,Italy,79000,serie_a,venezia
1082511,Moustapha Yabre,M. Yabre,D,33,24,Italy,52000,serie_a,venezia
558896,Davide Riccardi,D. Riccardi,D,28,30,Italy,140000,serie_a,venezia
993799,Alessandro Tozzuolo,A. Tozzuolo,D,31,23,Italy,195000,serie_a,venezia
1964919,Ivan Esculino,I. Esculino,D,2,21,Argentina,Non renseigné,serie_a,venezia
2296550,Pietro Rondolini,P. Rondolini,D,71,19,Italy,Non renseigné,serie_a,venezia
1133741,Luca Moro,L. Moro,G,12,22,Italy,73000,serie_a,venezia
2048162,Simone Cataldi,S. Cataldi,G,-,17,Italy,Non renseigné,serie_a,venezia
1639552,Francesco Yimga,F. Yimga,G,22,19,Italy,97000,serie_a,venezia
